Time,UniqueCode,Block,Sblock,Treatment,RealTreatment,Species,Height,Diameter,Nb_leaves,WiltingStage,Chloro,R,gs,gs_bis,FvFm,Asat,E,WUE
t0,594,3,3,C0,D1,Epe.fal,48,5.19,7,N,36.7,7,142.857142857143,179,816,5.3,1.488,3.564
t0,13,1,1,C0,D3,Epe.fal,41,4.77,7,N,47.2,8.8,113.636363636364,199,882,6.425,1.4275,4.505
t0,134,1,3,C0,D2,Epe.fal,27,3.05,5,N,48,6,166.666666666667,236,832,6.455555556,2.01333333,3.21888889
t0,292,2,2,C0,C0,Epe.fal,47,4.87,7,N,41.2,6.1,163.934426229508,216,809,4.3,0.932,4.624
t0,507,3,2,C0,C0,Epe.fal,33,3.93,9,N,37.7,6.3,158.730158730159,170,808,6.571428571,1.67428571,3.94142857
t0,695,3,5,C0,D3,Epe.fal,27,3.07,5,N - herbivory,41,4.6,217.391304347826,228,817,4.338461538,1.84384615,2.36307692
t0,817,4,2,C0,D2,Epe.fal,41,5.31,8,N,34.9,12.2,81.9672131147541,65,855,5.481818182,1.37909091,3.98363636
t0,926,4,5,C0,C0,Epe.fal,30,3.14,5,N,54.9,6,166.666666666667,218,835,7,1.5,4.67857143
t0,72,1,2,C0,D1,Iry.hos,12.5,3.15,6,N,35.1,7.5,133.333333333333,104,747,2.216666667,1.42166667,1.68
t0,43,1,1,C0,D3,Iry.hos,15,3.55,8,N,22.7,4.85,206.185567010309,86,759,1.876923077,1.53615385,1.22615385
t0,146,1,3,C0,D2,Iry.hos,11,3.38,9,N,36.6,4.65,215.05376344086,99,790,1.04,0.69,1.57
t0,173,1,4,C0,C0,Iry.hos,15.5,3.82,4,N,36.1,2.98,335.570469798658,57,660,3.133333333,1.175,2.67166667
t0,633,3,4,C0,D2,Iry.hos,12,2.55,7,N,27,5.5,181.818181818182,310,778,0.8,0.96,0.8325
t0,637,3,4,C0,D2,Iry.hos,12.5,3.78,7,N,40,16.6,60.2409638554217,52,771,1.585714286,0.47142857,3.49857143
t0,678,3,5,C0,D3,Iry.hos,10.5,3.07,5,N,23,5.8,172.413793103448,87,729,0.733333333,0.86666667,0.88
t0,879,4,4,C0,D3,Iry.hos,13,3.53,7,N,35.6,4.95,202.020202020202,123,836,4.7,1.15,4.115
t0,213,1,4,C0,C0,Jac.cop,13,4,12,N,36.7,,445,,736,8.01428571,1.96285714,4.09142857
t0,22,1,1,C0,D3,Pte.off,55,4.77,15,N,48.1,,141,,819,9.3,2.15142857,4.32714286
t0,104,1,2,C0,D1,Jac.cop,13,2.13,14,N,38.8,,650,,787,8.27142857,2.84,2.91285714
t0,763,4,1,C0,D1,Jac.cop,11,2.23,16,N,37.6,,310,,781,8.71428571,2.51714286,3.46142857
t0,486,3,1,C0,C0,Jac.cop,11,3.48,12,N,42.7,,264,,570,8.15714286,2.64285714,3.08857143
t0,521,3,2,C0,C0,Pte.off,57.5,7.32,14,N,41.9,,218,,806,11.8,3.80571429,3.10285714
t0,562,3,3,C0,D1,Jac.cop,13,3.91,13,N,37.6,,163,,656,7.21428571,1.89285714,3.82428571
t0,849,4,4,C0,D3,Jac.cop,17,3.46,16,N,35.7,,670,,807,6.03333333,2.58,2.34416667
t0,644,3,4,C0,D2,Jac.cop,15.5,3.61,11,N - Chlorose,49.5,,149,,745,8.05714286,1.84,4.38285714
t0,681,3,5,C0,D3,Jac.cop,12.5,3.19,15,N,39.9,,208,,609,8.18571429,2.75714286,2.96857143
t0,735,4,1,C0,D1,Pte.off,42,3.94,10,N,48,,133,,801,6.4,2.15142857,2.97571429
t0,17,1,1,C0,D3,Pte.off,40.5,4.39,11,N,48.2,,38,,843,9.49,2.224,4.275
t0,524,3,2,C0,C0,Pte.off,48.5,5.66,11,N,45.8,,365,,829,13.5428571,3.60714286,3.75714286
t0,787,4,2,C0,D2,Pte.off,54.5,7.38,12,N,46.1,,405,,870,11.6428571,3.32571429,3.50142857
t0,790,4,2,C0,D2,Pte.off,42.5,4.6,10,N,42.5,,80,,801,5.71428571,3.20285714,1.78571429
t0,881,4,4,C0,D3,Pte.off,46,4.65,12,N,50.2,,232,,844,10.5857143,2.70857143,3.90714286
t0,25,1,1,C0,D3,Sym.off,25,4.24,8,N,34.5,,730,,779,8.3625,3.32,2.5175
t0,32,1,1,C0,D3,Sym.off,21,2.97,9,N,51.2,,122,,514,9.12,2.666,3.422
t0,206,1,4,C0,C0,Sym.off,16.5,3.09,14,N,33.3,,670,,787,4.07142857,1.56428571,2.60142857
t0,161,1,3,C0,D2,Sym.off,18.5,2.09,9,N,47.8,,197,,759,5.27142857,2.34,2.25142857
t0,556,3,2,C0,C0,Sym.off,19.75,3.93,16,N,35.9,,420,,764,6.74545455,2.14454545,3.14454545
t0,559,3,2,C0,C0,Sym.off,17,3.16,13,N - Chlorose,26.8,,455,,806,-0.40588235,0.37235294,-1.44117647
t0,757,4,1,C0,D1,Sym.off,11.5,1.87,5,N,36.5,,510,,821,5.42,1.891,2.871
t0,894,4,4,C0,D3,Sym.off,19,3.31,17,N,44,,185,,708,6.35833333,1.57333333,4.075
t0,178,1,4,C0,C0,Tac.mel,15.5,2.33,9,N,32.5,,258,,661,4.34285714,1.99428571,2.19142857
t0,179,1,4,C0,C0,Tac.mel,18,2.7,10,N,33.9,,224,,810,6.47142857,1.61714286,4.00714286
t0,180,1,4,C0,C0,Tac.mel,17,2.92,12,N,26.1,,325,,757,3.98571429,2.30142857,1.73285714
t0,241,2,1,C0,D2,Tac.mel,16.5,2.42,15,N,22.3,,125,,856,5.7375,3.4625,1.6575
t0,340,2,3,C0,D3,Tac.mel,19,2.71,13,N,32.5,,465,,846,8.84545455,3.36636364,2.63272727
t0,803,4,2,C0,D2,Tac.mel,13,2.81,8,N,34.3,,204,,866,6.44,2.07866667,3.12133333
t0,549,3,2,C0,C0,Tac.mel,19,2.63,15,N,25.8,,118,,728,2.525,1.27875,1.97625
t0,437,2,5,C0,D1,Tac.mel,11,2.08,7,N,29.2,,170,,844,4.7,1.538,3.076
t0,628,3,4,C0,D2,Vir.sur,23,4.28,9,N,30.9,,325,,737,6.4375,3.05875,2.105
t0,91,1,2,C0,D1,Vir.sur,33,5.83,11,N,35.8,,196,,793,7.08571429,2.14428571,3.30428571
t0,456,3,1,C0,C0,Vir.sur,22,4.08,10,N,35.1,,204,,823,8.48571429,3.24571429,2.61571429
